1,???????,Cambodia,??????????????????,Kingdom of Cambodia,??????,Phnom Penh,??????,Asia
2,??????,Qatar,?????????,State of Qatar,????,Doha,??????,Asia
3,?????????,South Korea,???????????????,Republic of Korea,???,Seoul,??????,Asia
4,???????????,North Korea,?????????????????????????????????,Democratic People’s Republic of Korea,????????,Pyongyang,??????,Asia
5,?????????,Kazakhstan,??????????????????,Republic of Kazakhstan,???????,Astana,??????,Asia
6,??????????? ,Kyrgyzstan,????????????????,Kyrgyz Republic,??????,Bishkek,??????,Asia
7,?????,Kuwait,????????,State of Kuwait,?????????,Kuwait City,??????,Asia
8,????????,Georgia,????????,Georgia,???????,Tbilisi,??????,Asia
9,???????,Jordan,?????????????????????????,Hashemite Kingdom of Jordan,??????,Amman,??????,Asia
10,???,China,???????????????????,People’s Republic of China,???????,Beijing,??????,Asia
11,??????????????,Saudi Arabia,?????????????????????????,Kingdom of Saudi Arabia,?????,Riyadh,??????,Asia
12,??????,Syria,?????????????????????,Syrian Arab Republic,????????,Damascus,??????,Asia
13,??????,Cyprus,???????????????,Republic of Cyprus,????????,Nicosia,??????,Asia
14,???????,Japan,???????,Japan,???????,Tokyo,??????,Asia
15,??????-?????,Timor-Leste,??????????????????????????-?????,Democratic Republic of Timor-Leste,????,Dili,??????,Asia
16,?????,Turkey,??????????????,Republic of Turkey,???????,Ankara,??????,Asia
17,??????????????,Turkmenistan,??????????????,Turkmenistan,????????,Ashgabat,??????,Asia
18,??????????,Tajikistan,???????????????????,Republic of Tajikistan,???????,Dushanbe,??????,Asia
19,???,Thailand,??????????????,Kingdom of Thailand,?????????????,Bangkok,??????,Asia
20,?????,Nepal,????????????????????????????????,Federal Democratic Republic of Nepal,????????,Kathmandu,??????,Asia
21,?????,Brunei Darussalam,?????????????????????,Negara Brunei Darussalam,????????????????????,Bandar Seri Begawan,??????,Asia
22,?????????,Bangladesh,?????????????????????????,People’s Republic of Bangladesh,????,Dhaka,??????,Asia
23,???????,Bahrain,??????????????????,Kingdom of Bahrain,??????,Manama,??????,Asia
24,????????,Pakistan,???????????????????????,Islamic Republic of Pakistan,??????????,Islamabad,??????,Asia
25,????????????,Palestine,????????????,State of Palestine,?????????[# 5],Jerusalem,??????,Asia
26, ????,Myanmar,??????????????????????,Republic of the Union of Myanmar,???????,Nay Pyi Taw,??????,Asia
27,??????????,Philippines,???????????????????,Republic of the Philippines,??????,Manila,??????,Asia
28,?????,Bhutan,????????????????,Kingdom of Bhutan,?????,Thimphu,??????,Asia
29,?????????,Mongolia,?????????,Mongolia,???????????,Ulan Bator,??????,Asia
30,????????,Maldives,?????????????????,Republic of Maldives,????,Malé,??????,Asia
31,????????,Malaysia,????????,Malaysia,?????????????,Kuala Lumpur,??????,Asia
32,?????,Yemen,??????????????,Republic of Yemen,????,Sana'a,??????,Asia
33,???,Laos,??????????????????????????????,Lao People’s Democratic Republic,???????????,Vientiane,??????,Asia
34,???????,Lebanon,????????????????,Republic of Lebanon,?????,Beirut,??????,Asia
35,????????,Vietnam,??????????????????????????,Socialist Republic of Vietnam,?????,Hanoi,??????,Asia
36,????????,Sri Lanka,?????????????????????????????????????,Democratic Socialist Republic of Sri Lanka,?????,Kotte,??????,Asia
